file_id,path,first_seen,last_seen,commit_count,touches,bus_factor,sensitivity_score,sensitivity_tags
prisma/migrations/20260218010100_multi_tenant_schema/migration.sql,prisma/migrations/20260218010100_multi_tenant_schema/migration.sql,2026-02-17T18:59:33-07:00,2026-02-17T18:59:33-07:00,1,1,1,0.50,data_schema
prisma/migrations/20260218021000_catalog_wrapdesign_fields/migration.sql,prisma/migrations/20260218021000_catalog_wrapdesign_fields/migration.sql,2026-02-17T19:13:18-07:00,2026-02-17T19:13:18-07:00,1,1,1,0.50,data_schema
prisma/migrations/20260218024000_booking_table/migration.sql,prisma/migrations/20260218024000_booking_table/migration.sql,2026-02-17T19:40:25-07:00,2026-02-17T19:40:25-07:00,1,1,1,0.50,data_schema
prisma/migrations/20260218030000_invoice_table/migration.sql,prisma/migrations/20260218030000_invoice_table/migration.sql,2026-02-17T19:56:06-07:00,2026-02-17T19:56:06-07:00,1,1,1,0.50,data_schema
prisma/migrations/20260218032000_payment_event_table/migration.sql,prisma/migrations/20260218032000_payment_event_table/migration.sql,2026-02-17T20:01:45-07:00,2026-02-17T20:01:45-07:00,1,1,1,0.50,data_schema
prisma/migrations/migration_lock.toml,prisma/migrations/migration_lock.toml,2026-02-17T18:59:33-07:00,2026-02-17T18:59:33-07:00,1,1,1,0.50,data_schema
prisma/schema.prisma,prisma/schema.prisma,2026-02-17T18:59:33-07:00,2026-02-17T20:01:45-07:00,5,5,1,0.80,data_schema
proxy.ts,proxy.ts,2026-02-18T06:34:58-07:00,2026-02-18T06:34:58-07:00,1,1,1,0.70,edge_gateway
public/0001-1137653301909815874.png,public/0001-1137653301909815874.png,2026-02-18T06:34:58-07:00,2026-02-18T06:34:58-07:00,1,1,1,0.00,
public/0001-2762326861478041957.png,public/0001-2762326861478041957.png,2026-02-18T06:34:58-07:00,2026-02-18T06:34:58-07:00,1,1,1,0.00,
public/0001-3395082611040874149.png,public/0001-3395082611040874149.png,2026-02-18T06:34:58-07:00,2026-02-18T06:34:58-07:00,1,1,1,0.00,
public/0001-3757622370303829961.png,public/0001-3757622370303829961.png,2026-02-18T06:34:58-07:00,2026-02-18T06:34:58-07:00,1,1,1,0.00,
public/0001-5948623603194756924.png,public/0001-5948623603194756924.png,2026-02-18T06:34:58-07:00,2026-02-18T06:34:58-07:00,1,1,1,0.00,
public/0001-6683836236957800475.png,public/0001-6683836236957800475.png,2026-02-18T06:34:58-07:00,2026-02-18T06:34:58-07:00,1,1,1,0.00,
public/0001-7280563191036061234.png,public/0001-7280563191036061234.png,2026-02-18T06:34:58-07:00,2026-02-18T06:34:58-07:00,1,1,1,0.00,
public/0001-762728619053843625.png,public/0001-762728619053843625.png,2026-02-18T06:34:58-07:00,2026-02-18T06:34:58-07:00,1,1,1,0.00,
public/0001-7629592165922640420.png,public/0001-7629592165922640420.png,2026-02-18T06:34:58-07:00,2026-02-18T06:34:58-07:00,1,1,1,0.00,
public/0001-8036042029217284237.png,public/0001-8036042029217284237.png,2026-02-18T06:34:58-07:00,2026-02-18T06:34:58-07:00,1,1,1,0.00,
scripts/github/bootstrap-governance.mjs,scripts/github/bootstrap-governance.mjs,2026-02-17T09:48:38-07:00,2026-02-17T14:29:18-07:00,2,2,1,0.00,
scripts/github/bootstrap-labels.sh,scripts/github/bootstrap-labels.sh,2026-02-16T16:22:34-07:00,2026-02-17T09:48:38-07:00,2,2,2,0.00,
task-manifest.json,task-manifest.json,2026-02-16T12:13:20-07:00,2026-02-17T14:29:18-07:00,7,7,2,0.00,
tests/e2e/happy-path.spec.ts,tests/e2e/happy-path.spec.ts,2026-02-17T20:19:05-07:00,2026-02-17T20:19:05-07:00,1,1,1,0.00,
tests/integration/auth.test.ts,tests/integration/auth.test.ts,2026-02-17T19:03:59-07:00,2026-02-17T19:03:59-07:00,1,1,1,0.00,
tests/integration/booking.test.ts,tests/integration/booking.test.ts,2026-02-17T19:40:25-07:00,2026-02-17T19:40:25-07:00,1,1,1,0.00,
tests/integration/catalog-rsc.test.ts,tests/integration/catalog-rsc.test.ts,2026-02-17T19:19:27-07:00,2026-02-17T19:19:27-07:00,1,1,1,0.00,
tests/integration/catalog.test.ts,tests/integration/catalog.test.ts,2026-02-17T19:13:18-07:00,2026-02-17T19:13:18-07:00,1,1,1,0.00,
tests/integration/invoice.test.ts,tests/integration/invoice.test.ts,2026-02-17T19:56:06-07:00,2026-02-17T19:56:06-07:00,1,1,1,0.00,
tests/integration/prisma-tenancy.test.ts,tests/integration/prisma-tenancy.test.ts,2026-02-17T18:59:33-07:00,2026-02-17T18:59:33-07:00,1,1,1,0.00,
tests/integration/stripe-webhook.test.ts,tests/integration/stripe-webhook.test.ts,2026-02-17T20:01:45-07:00,2026-02-17T20:01:45-07:00,1,1,1,0.00,
tests/integration/tenancy.test.ts,tests/integration/tenancy.test.ts,2026-02-17T18:51:27-07:00,2026-02-17T18:51:27-07:00,1,1,1,0.00,
tests/integration/upload-preview.test.ts,tests/integration/upload-preview.test.ts,2026-02-17T19:27:22-07:00,2026-02-17T20:15:21-07:00,2,2,1,0.00,
tests/unit/github-governance.test.ts,tests/unit/github-governance.test.ts,2026-02-17T09:48:38-07:00,2026-02-17T14:29:18-07:00,2,2,1,0.00,
tests/unit/rbac.test.ts,tests/unit/rbac.test.ts,2026-02-17T19:07:29-07:00,2026-02-17T19:07:29-07:00,1,1,1,0.00,
tests/unit/scheduling.test.ts,tests/unit/scheduling.test.ts,2026-02-17T19:31:35-07:00,2026-02-17T19:31:35-07:00,1,1,1,0.00,
tests/unit/task-manifest.test.ts,tests/unit/task-manifest.test.ts,2026-02-16T16:22:34-07:00,2026-02-17T14:29:18-07:00,2,2,2,0.00,
tests/unit/template-preview.test.ts,tests/unit/template-preview.test.ts,2026-02-17T19:23:09-07:00,2026-02-17T19:23:09-07:00,1,1,1,0.00,
tsconfig.json,tsconfig.json,2026-02-16T16:22:34-07:00,2026-02-17T09:48:38-07:00,2,2,2,0.00,
vitest.config.ts,vitest.config.ts,2026-02-16T16:22:34-07:00,2026-02-16T16:22:34-07:00,1,1,1,0.00,
